SWIDTag;IdEquipment;updated;created
ORAC001;SERV_001;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC001;SERV_002;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC001;SERV_003;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC002;SERV_004;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC002;SERV_005;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC002;SERV_006;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC002;SERV_007;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC002;SERV_008;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC002;SERV_009;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC003;SERV_010;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC003;SERV_011;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC003;SERV_012;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC003;SERV_013;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC003;SERV_014;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC003;SERV_015;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC003;SERV_016;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC004;SERV_017;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC004;SERV_018;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC005;SERV_019;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC005;SERV_020;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC005;SERV_021;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC001;equip4_1;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC001;equip4_2;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC001;equip4_3;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC002;equip4_1;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC002;equip4_2;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC002;equip4_3;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC003;equip4_1;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC003;equip4_2;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC003;equip4_3;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC099;PA_001;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC099;PA_004;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC099;SERV_0022;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC099;PA_002;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
ORAC099;SERV_0023;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
